distance	patristic
1192.267446	0.400560113
1192.267446	0.402079119
1192.267446	0.402688478
1192.267446	0.401272248
1192.267446	0.401272248
1192.267446	0.400573953
1192.267446	0.40197992
1192.267446	0.40127561
694.8519137	0.401262033
1002.314935	0.397822133
1002.314935	0.397135216
1002.314935	0.397135216
1002.314935	0.397130241
1002.314935	0.395735527
1002.314935	0.391493327
1002.314935	0.390796741
1002.314935	0.391536689
1002.314935	0.392808628
1002.314935	0.390670916
1002.314935	0.389262017
1002.314935	0.38926204
1002.314935	0.396436388
1002.314935	0.392092323
1002.314935	0.403835189
1002.314935	0.3906722
1002.314935	0.392808168
1002.314935	0.391380615
1002.314935	0.391380615
1002.314935	0.407502718
1002.314935	0.394204484
1002.314935	0.394204484
1002.314935	0.392078064
1002.314935	0.396365866
1002.314935	0.414479971
1380.727695	0.417329819
1002.314935	0.415890311
1002.314935	0.415190631
1380.727695	0.416599798
1002.314935	0.416601546
1002.314935	0.415215493
1002.314935	0.415215493
1002.314935	0.415210518
1002.314935	0.415205543
1002.314935	0.394209702
1380.727695	0.411738274
1380.727695	0.411738274
1002.314935	0.407229724
1002.314935	0.406520775
1192.267446	0.417856034
1002.314935	0.417301483
1002.314935	0.417301483
737.6658892	0.428499947
536.0646018	0.425014549
1002.314935	0.419683396
1002.314935	0.419683396
1192.267446	0.419683694
1380.727695	0.421699816
1380.727695	0.418883871
1380.727695	0.418182581
1380.727695	0.420292112
1380.727695	0.41960041
1380.727695	0.420302017
1380.727695	0.420302017
1192.267446	0.429713483
737.6658892	0.429009197
737.6658892	0.431146328
0	0.428318168
0	0.431931752
694.8519137	0.428316227
694.8519137	0.427624484
1192.267446	0.431165962
737.6658892	0.430449075
737.6658892	0.43049447
1192.267446	0.434024678
737.6658892	0.431933826
536.0646018	0.428325852
737.6658892	0.431932787
0	0.429768961
1380.727695	0.418096168
1380.727695	0.418805133
1380.727695	0.417409718
1380.727695	0.417409718
1380.727695	0.4195532
1380.727695	0.41602083
737.6658892	0.41819162
737.6658892	0.418196595
737.6658892	0.418196595
737.6658892	0.419653063
737.6658892	0.424723571
0	0.428075559
0	0.426897679
1192.267446	0.426965098
536.0646018	0.425331537
0	0.425331537
0	0.432610197
0	0.430235701
737.6658892	0.433091599
0	0.435704561
1192.267446	0.434802397
0	0.434081305
0	0.434782748
737.6658892	0.428066319
824.9480257	0.429508746
1192.267446	0.429498103
737.6658892	0.425963597
737.6658892	0.418868338
737.6658892	0.417467067
536.0646018	0.413828546
1192.267446	0.414546828
1380.727695	0.418187243
1380.727695	0.417490544
1002.314935	0.408060522
1002.314935	0.405961134
1002.314935	0.405961134
1002.314935	0.405956159
1380.727695	0.425957451
1002.314935	0.412732296
694.8519137	0.433976252
737.6658892	0.433248369
737.6658892	0.433248369
1192.267446	0.434606348
1192.267446	0.434603609
1192.267446	0.433912464
1192.267446	0.433912464
1002.314935	0.43320134
1192.267446	0.436729133
1192.267446	0.437442599
1192.267446	0.436007278
737.6658892	0.436028818
0	0.431984288
1380.727695	0.429459115
1380.727695	0.428764053
5352.043038	0.409059097
5352.043038	0.408380841
5352.043038	0.408380451
1192.267446	0.430758876
737.6658892	0.430046622
1002.314935	0.42459595
1462.702006	0.430505236
1462.702006	0.429809334
1002.314935	0.411390749
1002.314935	0.420502076
1380.727695	0.419708312
1002.314935	0.42612307
1002.314935	0.424372925
1002.314935	0.424372925
1380.727695	0.416835547
1002.314935	0.418137521
1002.314935	0.417441777
1192.267446	0.433333876
1192.267446	0.426934994
824.9480257	0.430874937
824.9480257	0.430874937
824.9480257	0.430874937
824.9480257	0.430874937
5352.043038	0.40977807
5352.043038	0.410582867
5352.043038	0.411278079
1002.314935	0.410600293
1002.314935	0.418028321
1380.727695	0.425509491
1380.727695	0.425509491
1380.727695	0.429574145
1380.727695	0.429574145
1002.314935	0.423576468
1380.727695	0.40926552
1002.314935	0.410172106
1002.314935	0.408066638
1002.314935	0.384080891
1002.314935	0.391415853
1002.314935	0.391415853
1002.314935	0.405647747
1002.314935	0.404443403
1002.314935	0.403025949
1002.314935	0.403025949
1002.314935	0.405691335
1002.314935	0.397802244
1002.314935	0.397826556
1002.314935	0.397165766
1002.314935	0.406595859
1002.314935	0.401506767
1002.314935	0.394327891
1002.314935	0.399321918
1002.314935	0.398130841
1002.314935	0.396724866
1002.314935	0.396724866
1002.314935	0.398133849
1002.314935	0.39884211
1002.314935	0.394893505
1002.314935	0.397775369
1002.314935	0.398491297
1002.314935	0.397795298
1002.314935	0.397790363
1002.314935	0.397089376
1002.314935	0.397781009
1002.314935	0.385925763
1002.314935	0.385050336
1002.314935	0.387883044
1002.314935	0.387180176
1002.314935	0.38787588
1002.314935	0.380839853
1002.314935	0.388168977
737.6658892	0.013607677
737.6658892	0.012908752
737.6658892	0.013617825
737.6658892	0.010794389
737.6658892	0.010794389
1078.673475	0.353731238
1078.673475	0.353040861
1078.673475	0.353040861
461.5418422	0.355473793
537.9579503	0.370933767
537.9579503	0.374893315
537.9579503	0.37558934
537.9579503	0.38303644
537.9579503	0.388329349
537.9579503	0.382170117
537.9579503	0.394564059
537.9579503	0.383607485
537.9579503	0.383607485
4772.254121	0.407107814
1078.673475	0.39953311
537.9579503	0.409431005
537.9579503	0.409431005
537.9579503	0.409419354
537.9579503	0.408728562
461.5418422	0.41512637
537.9579503	0.41157744
461.5418422	0.423377972
330.2182276	0.418831959
1078.673475	0.408729231
1078.673475	0.409425063
330.2182276	0.408036429
461.5418422	0.410860394
461.5418422	0.415093297
461.5418422	0.412271087
461.5418422	0.414387034
461.5418422	0.417331722
461.5418422	0.413678504
537.9579503	0.415110872
461.5418422	0.412976508
461.5418422	0.415106479
461.5418422	0.41438545
461.5418422	0.416586721
737.6658892	0.420975819
737.6658892	0.42167195
0	0.4252188
461.5418422	0.425210999
461.5418422	0.425906616
